,open,high,low,close,volume,value
2022-11-22 06:00:00,22269000.0,22343000.0,22000000.0,22102000.0,392.75744786,8683677142.96546
2022-11-22 07:00:00,22110000.0,22286000.0,22029000.0,22172000.0,295.6867408,6550723919.92591
2022-11-22 08:00:00,22181000.0,22266000.0,22129000.0,22220000.0,243.32460395,5403699843.74878
2022-11-22 09:00:00,22220000.0,22446000.0,22198000.0,22340000.0,398.46586911,8902003535.48473
2022-11-22 10:00:00,22340000.0,22370000.0,22180000.0,22198000.0,241.01750812,5371509265.51179
2022-11-22 11:00:00,22200000.0,22458000.0,22176000.0,22443000.0,336.7729109,7507369719.06346
2022-11-22 12:00:00,22451000.0,22467000.0,22247000.0,22257000.0,243.61988793,5440037749.98934
2022-11-22 13:00:00,22268000.0,22269000.0,22200000.0,22237000.0,174.92814283,3888421026.90804
2022-11-22 14:00:00,22237000.0,22344000.0,22200000.0,22254000.0,174.91125447,3893648309.64095
2022-11-22 15:00:00,22264000.0,22281000.0,22112000.0,22123000.0,201.44183691,4470404801.10345
2022-11-22 16:00:00,22123000.0,22223000.0,22033000.0,22159000.0,268.20543587,5936748928.89073
2022-11-22 17:00:00,22157000.0,22164000.0,22031000.0,22076000.0,202.63871586,4475772707.696
2022-11-22 18:00:00,22096000.0,22141000.0,22036000.0,22057000.0,167.0105918,3687556952.07253
2022-11-22 19:00:00,22066000.0,22220000.0,22044000.0,22210000.0,136.10133591,3009652366.04033
2022-11-22 20:00:00,22210000.0,22233000.0,22095000.0,22151000.0,152.33719209,3377425791.27588
2022-11-22 21:00:00,22151000.0,22250000.0,22073000.0,22230000.0,225.75749971,5006893691.93607
2022-11-22 22:00:00,22230000.0,22646000.0,22225000.0,22556000.0,695.86209347,15634819448.46165
2022-11-22 23:00:00,22556000.0,22616000.0,22401000.0,22480000.0,290.33347754,6536609174.55605
2022-11-23 00:00:00,22482000.0,22719000.0,22480000.0,22636000.0,244.98172666,5537583769.15476
2022-11-23 01:00:00,22636000.0,22700000.0,22522000.0,22561000.0,88.91288277,2008447753.60394
2022-11-23 02:00:00,22556000.0,22579000.0,22444000.0,22450000.0,82.77140306,1864529148.86686
2022-11-23 03:00:00,22476000.0,22592000.0,22420000.0,22489000.0,65.79019444,1479684994.87152
2022-11-23 04:00:00,22512000.0,22626000.0,22444000.0,22538000.0,52.97850682,1194519366.24626
2022-11-23 05:00:00,22517000.0,22553000.0,22457000.0,22458000.0,53.44564117,1203242145.91322
2022-11-23 06:00:00,22459000.0,22524000.0,22400000.0,22494000.0,81.26188312,1824690330.77366
2022-11-23 07:00:00,22494000.0,22652000.0,22481000.0,22540000.0,123.91176499,2792030468.3556
2022-11-23 08:00:00,22538000.0,22616000.0,22509000.0,22584000.0,126.64907026,2857763669.60722
2022-11-23 09:00:00,22599000.0,22619000.0,22525000.0,22565000.0,210.07667672,4741139496.06619
2022-11-23 10:00:00,22566000.0,22650000.0,22530000.0,22647000.0,142.6958405,3224166643.86596
2022-11-23 11:00:00,22647000.0,22985000.0,22639000.0,22947000.0,483.34626607,11048058782.39568
2022-11-23 12:00:00,22941000.0,23030000.0,22891000.0,23013000.0,415.81342675,9546475518.4118
2022-11-23 13:00:00,23013000.0,23020000.0,22860000.0,22877000.0,233.13380049,5345418763.4182
